Sequence ID:,Length,GC Content
seq1,275,62.909090909090914
seq3,291,52.23367697594502
seq5,277,72.92418772563177
seq6,193,47.15025906735752
seq7,281,67.61565836298932
seq9,168,61.30952380952381
seq10,218,21.55963302752294
seq11,229,75.9825327510917
seq12,111,24.324324324324326
seq13,176,34.090909090909086
seq14,155,41.29032258064516
seq15,106,58.490566037735846
seq16,296,81.08108108108108
seq17,214,24.766355140186917
seq18,209,43.54066985645933
seq19,150,32.666666666666664
seq20,169,79.88165680473372
seq21,263,38.78326996197718
seq22,193,65.28497409326425
seq23,251,34.66135458167331
seq24,112,40.17857142857143
seq25,120,53.333333333333336
seq26,142,78.87323943661971
seq27,114,37.719298245614034
seq28,176,57.38636363636363
seq29,193,29.015544041450774
seq30,282,72.69503546099291
seq31,203,42.364532019704434
seq34,282,13.47517730496454
seq38,159,52.20125786163522
seq41,115,37.391304347826086
seq42,203,16.25615763546798
seq43,177,83.05084745762711
seq44,266,57.14285714285714
seq45,154,35.064935064935064
seq46,161,42.857142857142854
seq48,111,27.927927927927925
seq49,182,79.67032967032966
seq50,204,45.09803921568628
seq51,201,68.1592039800995
seq52,261,44.827586206896555
seq53,174,63.793103448275865
seq54,292,74.65753424657534
seq55,208,37.019230769230774
seq56,250,66.8
seq57,199,7.537688442211055
seq58,232,64.22413793103449
seq59,268,62.31343283582089
seq60,125,54.400000000000006
seq61,105,45.714285714285715
seq62,168,29.166666666666668
seq63,221,42.081447963800905
seq64,138,61.59420289855072
seq65,260,60.38461538461538
seq67,126,40.476190476190474
seq68,224,55.35714285714286
seq69,203,44.827586206896555
seq70,295,53.898305084745765
seq71,157,36.94267515923567
seq72,255,26.666666666666668
seq73,117,68.37606837606837
seq74,159,60.37735849056604
seq75,130,56.92307692307692
seq76,236,36.016949152542374
seq77,242,31.40495867768595
seq79,249,72.69076305220884
seq80,180,36.666666666666664
seq81,248,63.306451612903224
seq82,112,32.142857142857146
seq83,293,26.27986348122867
seq84,174,61.49425287356321
seq87,208,1.4423076923076923
seq92,165,29.6969696969697
seq93,241,34.85477178423236
seq94,111,35.13513513513514
seq95,128,54.6875
seq96,160,23.75
seq97,138,38.405797101449274
seq98,205,55.60975609756098
seq99,295,46.440677966101696
seq100,164,59.756097560975604
seq101,133,59.3984962406015
seq102,225,72.44444444444444
seq103,173,78.03468208092485
seq105,249,30.120481927710845
seq106,170,80.0
seq107,286,58.04195804195804
seq108,172,41.86046511627907
seq109,296,52.02702702702703
seq110,227,59.471365638766514
seq111,132,67.42424242424242
seq112,286,59.09090909090909
seq113,102,19.607843137254903
seq114,176,20.454545454545457
seq115,190,94.21052631578948
seq116,294,52.721088435374156
seq117,129,65.11627906976744
seq118,196,42.3469387755102
seq119,280,54.64285714285714
seq121,118,38.13559322033898
seq122,153,26.143790849673206
seq123,135,30.37037037037037
seq124,127,49.60629921259843
seq126,256,36.328125
seq127,287,30.313588850174217
seq128,175,37.714285714285715
seq130,129,45.73643410852713
seq131,136,4.411764705882353
seq132,120,77.5
seq134,196,37.755102040816325
seq135,116,37.06896551724138
seq136,234,17.94871794871795
seq137,174,37.93103448275862
seq138,232,28.448275862068968
seq139,198,19.696969696969695
seq140,208,41.82692307692308
seq142,103,66.99029126213593
seq143,281,57.65124555160143
seq144,258,56.58914728682171
seq145,101,62.37623762376238
seq146,286,5.944055944055944
seq147,246,81.70731707317073
seq150,126,4.761904761904762
seq151,208,61.057692307692314
seq152,150,14.666666666666666
seq153,232,52.1551724137931
seq154,291,83.16151202749141
seq155,253,65.61264822134387
seq156,273,69.96336996336996
seq158,164,50.609756097560975
seq159,188,39.361702127659576
seq160,143,37.06293706293706
seq161,199,61.80904522613066
seq163,222,47.2972972972973
seq164,154,45.45454545454545
seq165,282,57.446808510638306
seq166,162,49.382716049382715
seq167,113,49.557522123893804
seq169,156,23.076923076923077
seq171,285,9.824561403508772
seq172,271,35.42435424354243
seq173,224,66.96428571428571
seq174,168,69.64285714285714
seq175,283,87.63250883392226
seq176,146,36.3013698630137
seq177,199,16.582914572864322
seq178,176,71.5909090909091
seq179,186,20.43010752688172
seq180,122,88.52459016393442
seq181,286,24.475524475524477
seq182,243,24.279835390946502
seq183,258,46.12403100775194
seq184,168,76.19047619047619
seq185,234,81.62393162393163
seq187,174,60.3448275862069
seq188,139,23.741007194244602
seq189,209,55.02392344497608
seq190,263,70.72243346007605
seq191,165,53.333333333333336
seq192,166,49.39759036144578
seq193,250,41.199999999999996
seq194,163,41.104294478527606
seq195,275,42.18181818181818
seq196,124,14.516129032258066
seq197,200,56.49999999999999
seq198,209,47.84688995215311
seq199,253,70.35573122529645
seq200,124,62.096774193548384
seq201,162,20.37037037037037
seq202,276,36.594202898550726
seq203,242,53.71900826446281
seq204,196,62.755102040816325
seq205,285,52.28070175438596
seq206,186,10.21505376344086
seq207,195,70.25641025641025
seq208,274,0.0
seq209,298,61.74496644295302
seq212,293,28.668941979522184
seq213,208,49.03846153846153
seq214,153,16.99346405228758
seq215,280,57.49999999999999
seq216,109,73.39449541284404
seq218,199,50.25125628140703
seq219,223,56.95067264573991
seq220,176,56.25
seq222,266,15.037593984962406
seq223,244,59.01639344262295
seq224,289,60.553633217993074
seq225,275,22.181818181818183
seq226,137,78.83211678832117
seq227,197,40.10152284263959
seq228,260,54.230769230769226
seq229,203,65.51724137931035
seq230,222,47.74774774774775
seq231,216,83.79629629629629
seq232,271,52.02952029520295
seq233,211,36.018957345971565
seq234,180,77.77777777777779
seq235,183,57.377049180327866
seq236,282,30.851063829787233
seq237,284,42.95774647887324
seq238,149,42.95302013422819
seq239,122,86.0655737704918
seq241,213,25.821596244131456
